IDpassageiro,Nome,Deck,NumeroCabine,PosicaoCabine,Procedencia,Destino,Idade,VIP,AllInclusive,ServicoCabine,Restaurante,Shopping,SPA,ParquedeAguas,Sobrevivente
4042_03,Canon Stewder,A,46,S,America,Monaco,26.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3504_01,Nicey Mcleandez,G,575,P,Europa,Grecia,27.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8014_01,Letty Brightez,G,1294,S,Europa,Grecia,38.0,0,1,0.0,0.0,0.0,0.0,0.0,1
9211_01,Stendy Steelerettt,G,1486,S,Europa,Grecia,60.0,0,0,0.0,8.0,0.0,360.0,74.0,0
5157_01,Melia Gardsondez,G,844,S,Europa,Grecia,40.0,0,0,814.0,12.0,2.0,0.0,79.0,1
7097_04,Sulah Poilsive,A,75,P,America,Monaco,33.0,1,0,0.0,16.0,12.0,2349.0,12.0,0
6694_01,Ger Mcneiley,G,1084,P,Europa,Grecia,66.0,0,1,0.0,0.0,0.0,0.0,0.0,1
9059_01,Anda Gregordy,F,1753,S,Europa,Grecia,16.0,0,0,866.0,0.0,0.0,184.0,0.0,0
3015_01,Dord Pottley,E,199,S,Europa,Grecia,35.0,0,0,0.0,1438.0,0.0,112.0,74.0,1
2647_01,Janney Johnsby,F,547,P,Europa,Grecia,24.0,0,0,0.0,0.0,0.0,636.0,68.0,0
6718_02,Timmy Mcfaddoxter,G,1088,P,Europa,Grecia,5.0,0,1,0.0,0.0,0.0,0.0,0.0,0
5867_01,Noria Rocknight,F,1212,P,Europa,Grecia,45.0,0,0,0.0,0.0,0.0,1501.0,24.0,0
8049_01,Bonya Workmans,G,1301,P,Europa,Grecia,22.0,0,0,6.0,21.0,0.0,782.0,0.0,0
0086_01,Jodye Kinson,F,17,P,Europa,Grecia,43.0,0,0,211.0,0.0,0.0,638.0,513.0,0
4977_02,Nicey Merce,F,945,S,Europa,Grecia,32.0,0,0,2756.0,125.0,9.0,0.0,103.0,0
5662_02,Karia Wolferguson,F,1080,S,Europa,Grecia,31.0,0,0,13.0,0.0,0.0,679.0,0.0,0
4643_01,Sandie Goodson,F,947,P,Europa,Grecia,36.0,0,0,0.0,724.0,0.0,0.0,0.0,1
7324_01,Wezna Clugnobse,C,238,P,America,Grecia,27.0,0,0,15.0,2886.0,0.0,249.0,71.0,1
7219_05,Anchab Arible,C,235,P,America,Grecia,40.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3032_04,Ritany Wolfernan,F,575,S,Europa,Grecia,30.0,0,0,479.0,12.0,25.0,643.0,283.0,0
5794_01,Winopus Shoeweely,D,182,P,America,Grecia,45.0,0,0,0.0,1202.0,149.0,1472.0,3379.0,0
7310_01,Toale Bette,D,229,P,Africa,Grecia,28.0,0,0,1059.0,0.0,6.0,117.0,0.0,0
6908_01,Sheleon Swinvul,C,254,S,America,Grecia,60.0,0,0,0.0,960.0,46.0,854.0,17074.0,0
6322_01,Yvonna Cooperkins,E,419,S,Europa,Grecia,16.0,0,0,0.0,68.0,1541.0,0.0,0.0,1
8168_06,Camina Carpentley,G,1316,S,Europa,Grecia,18.0,0,0,0.0,858.0,2.0,0.0,0.0,1
9196_01,Tabdhib Poustive,C,339,S,America,Grecia,40.0,0,0,0.0,1674.0,0.0,269.0,4.0,1
6372_04,Hadaton Reelest,B,216,P,America,Monaco,18.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1729_01,Billya Merce,F,343,P,Europa,Grecia,26.0,0,0,21.0,0.0,499.0,568.0,0.0,1
0031_01,Coobix Datie,F,9,P,Africa,Grecia,47.0,0,0,214.0,0.0,1411.0,0.0,1229.0,1
3497_01,Stsan Nad,D,113,P,Africa,Grecia,38.0,1,0,66.0,0.0,991.0,0.0,0.0,0
3674_01,Ebonya Buchansen,G,600,S,Europa,Monaco,34.0,0,0,232.0,457.0,1.0,218.0,0.0,1
2466_01,Carley Harmond,F,472,S,Europa,Grecia,42.0,0,0,0.0,1.0,61.0,897.0,0.0,0
0203_01,Ancham Heateele,C,8,S,America,Grecia,51.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3485_03,Hamak Oillepint,E,237,S,America,Grecia,33.0,0,0,0.0,3157.0,0.0,131.0,0.0,1
6816_05,Lerion Ewiseston,G,1108,P,Europa,Monaco,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0
5385_01,Hon Cako,D,170,P,Africa,Grecia,31.0,0,0,2048.0,0.0,1040.0,136.0,0.0,0
8552_01,Pot Hapie,E,545,P,Africa,Grecia,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0
2838_01,Whee Cure,E,174,P,Africa,Grecia,22.0,0,0,0.0,0.0,0.0,0.0,0.0,0
2589_04,Weias Meteet,C,91,P,America,Grecia,30.0,1,0,0.0,632.0,0.0,673.0,2272.0,0
4082_01,Gray Cres,E,252,P,Africa,Grecia,22.0,0,0,0.0,0.0,0.0,0.0,0.0,0
7356_02,Herry Merkins,G,1181,P,Europa,Grecia,3.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5325_01,Wandy Blandez,F,1023,S,Europa,Malta,21.0,0,0,751.0,5.0,0.0,1.0,0.0,1
5344_02,Dyonon Prieress,C,168,P,America,Monaco,38.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3928_01,Anchird Witeronfus,E,264,S,America,Outros,28.0,0,0,3.0,1300.0,0.0,1250.0,1148.0,0
9041_01,Milda Lambucketty,G,1470,P,Europa,Malta,30.0,0,1,0.0,0.0,0.0,0.0,0.0,1
7208_01,Nelle Gibbsonton,G,1161,P,Europa,Grecia,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1
6511_01,Katen Gainney,F,1348,P,Europa,Grecia,22.0,0,0,151.0,6.0,26.0,0.0,533.0,0
8641_01,Cint Mille,F,1667,S,Africa,Grecia,3.0,0,0,0.0,0.0,0.0,0.0,0.0,1
0024_01,Penton Fullided,C,2,S,America,Grecia,62.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8282_01,Alvia Jacostaney,G,1336,S,Europa,Grecia,61.0,0,0,67.0,0.0,654.0,0.0,86.0,0
2347_05,Lewise Wellierras,G,377,P,Europa,Monaco,15.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8789_02,Monard Cartez,E,576,S,Europa,Grecia,23.0,0,0,0.0,565.0,0.0,35.0,188.0,1
1536_01,Croo Nuthe,F,297,S,Africa,Grecia,21.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1736_01,Therry Blancoy,G,284,P,Europa,Malta,22.0,0,1,0.0,0.0,0.0,0.0,0.0,0
2262_01,Clarry Kimpson,G,365,P,Europa,Monaco,43.0,0,0,485.0,4.0,136.0,48.0,0.0,0
6076_01,Therry Cames,G,988,S,Europa,Grecia,18.0,0,0,14.0,2.0,144.0,610.0,0.0,1
8318_02,Kie Ropie,F,1711,P,Africa,Grecia,65.0,0,0,1399.0,0.0,0.0,0.0,0.0,0
0575_01,Minoton Bootty,E,34,P,America,Grecia,18.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8539_01,Tance Simsey,G,1372,S,Europa,Grecia,20.0,0,0,59.0,29.0,27.0,0.0,0.0,0
0512_01,Sadirak Nateansive,D,18,S,America,Monaco,32.0,0,0,0.0,5755.0,0.0,59.0,122.0,1
2419_01,Eriney Mclainez,G,394,P,Europa,Grecia,15.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4409_01,Proxima Regmansidy,C,160,S,America,Grecia,50.0,0,0,0.0,817.0,388.0,78.0,693.0,1
7045_01,Range Bara,D,222,P,Africa,Monaco,19.0,0,0,1043.0,0.0,138.0,0.0,0.0,0
7588_02,Aude Hersons,G,1219,P,Europa,Monaco,15.0,0,0,0.0,714.0,0.0,0.0,0.0,1
6929_03,Tricki Llovers,E,441,P,Europa,Grecia,15.0,0,0,9.0,776.0,4.0,0.0,2.0,1
4402_01,Louisy Waderoachez,G,725,P,Europa,Malta,29.0,0,1,0.0,0.0,0.0,0.0,0.0,0
9158_01,Magnon Maglible,B,298,P,America,Monaco,30.0,1,1,0.0,0.0,0.0,0.0,0.0,1
3913_01,Catha Waterson,F,738,S,Europa,Outros,23.0,0,0,0.0,93.0,1.0,0.0,542.0,0
2401_01,Luise Francock,G,388,P,Europa,Malta,42.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6598_01,Panter Mepie,F,1263,S,Africa,Grecia,35.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3754_01,Naomin Sterson,G,611,P,Europa,Grecia,43.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2429_01,Idace Vinozarks,F,497,P,Europa,Grecia,17.0,0,0,112.0,56.0,332.0,0.0,606.0,0
9190_01,Fanne Mclarseney,F,1778,S,Europa,Grecia,21.0,0,0,802.0,0.0,1.0,1.0,0.0,1
2015_01,Fayene Hickett,F,387,S,Europa,Grecia,19.0,0,0,1139.0,18.0,0.0,0.0,671.0,1
8264_01,Lifes Ste,F,1584,S,Africa,Grecia,21.0,0,0,32.0,0.0,1008.0,0.0,0.0,1
4246_01,Isaacy Hamberterry,G,693,P,Europa,Grecia,30.0,0,0,0.0,10.0,0.0,3840.0,329.0,0
6367_02,Cank Botte,F,1215,S,Africa,Monaco,18.0,0,0,114.0,131.0,927.0,0.0,0.0,1
1950_01,Tonyn Welles,F,374,S,Europa,Grecia,51.0,0,0,0.0,0.0,0.0,101.0,1357.0,0
2177_01,Clech Colle,F,435,P,Africa,Grecia,53.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2168_02,Gorice Lacke,F,427,S,Africa,Grecia,20.0,0,0,212.0,0.0,991.0,0.0,13.0,0
0603_01,Lyny Scheron,F,126,P,Europa,Grecia,21.0,0,0,0.0,0.0,12.0,0.0,747.0,0
5755_01,Loreen Cardner,G,933,S,Europa,Grecia,23.0,0,0,88.0,0.0,586.0,0.0,0.0,1
0660_01,Leonyl Saley,G,99,S,Europa,Grecia,15.0,0,1,0.0,0.0,0.0,0.0,0.0,0
8723_01,Aleen Traverdy,F,1794,P,Europa,Grecia,38.0,0,0,32.0,1163.0,0.0,52.0,1935.0,0
5663_01,Alsuud Ressing,A,71,S,America,Grecia,33.0,0,0,0.0,1513.0,5.0,63.0,144.0,1
5673_01,Pattin Bradlerson,F,1083,S,Europa,Grecia,29.0,0,0,286.0,545.0,0.0,0.0,0.0,1
5916_01,Marky Meltonway,E,383,S,Europa,Outros,19.0,0,0,2.0,3.0,450.0,204.0,0.0,1
5058_02,Gork Apie,F,963,S,Africa,Malta,30.0,1,0,600.0,31.0,1.0,659.0,191.0,0
3937_01,Vanie Rossey,F,742,S,Europa,Grecia,24.0,0,0,45.0,588.0,5.0,7.0,0.0,1
0570_01,Chard Tramsor,C,22,S,America,Grecia,36.0,1,0,530.0,5085.0,1.0,146.0,872.0,1
6006_02,Sulaos Monpreery,D,190,P,America,Monaco,26.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8105_01,Shan Villenson,F,1677,P,Europa,Malta,18.0,0,0,0.0,0.0,15.0,570.0,84.0,0
6361_01,Alvia Barbes,G,1031,S,Europa,Grecia,44.0,0,0,0.0,509.0,129.0,246.0,0.0,1
3325_01,Blanda Fitzgerson,G,543,P,Europa,Malta,31.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2520_01,Arrai Crantiale,C,88,P,America,Grecia,59.0,0,0,0.0,5407.0,0.0,285.0,1135.0,0
3862_06,Bants Cako,F,729,S,Africa,Grecia,13.0,0,0,1008.0,667.0,8.0,0.0,0.0,0
0992_05,Sinon Kiling,D,35,S,America,Monaco,17.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2241_01,Jacky Jacostaffey,F,451,P,Europa,Grecia,27.0,0,0,485.0,1109.0,921.0,0.0,1.0,0
3029_01,Geno Disgul,C,103,P,America,Monaco,21.0,0,0,0.0,878.0,82.0,360.0,1784.0,0
2929_01,Alancy Mcbritts,G,467,S,Europa,Malta,48.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5506_01,Phecca Speedgear,D,166,S,America,Grecia,37.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4871_01,Anniey Mccarry,F,990,P,Europa,Malta,13.0,0,0,0.0,611.0,0.0,0.0,0.0,0
3005_01,Stmeal Fisun,F,573,S,Africa,Grecia,70.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3392_01,Philia Gallard,G,541,S,Europa,Grecia,20.0,0,0,0.0,39.0,830.0,17.0,0.0,1
0463_01,Grats Staf,F,100,P,Africa,Grecia,34.0,0,0,865.0,0.0,257.0,0.0,35.0,0
4774_04,Gicks Perty,F,972,P,Africa,Grecia,6.0,0,1,0.0,0.0,0.0,0.0,0.0,1
9015_01,Nunkino Perable,B,344,S,America,Monaco,41.0,0,0,3.0,1320.0,0.0,0.0,12392.0,0
0470_01,Aptal Binie,F,86,S,Africa,Monaco,25.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1800_03,Vick Goffey,G,283,S,Europa,Grecia,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0
3000_01,Therta Spencervan,F,627,P,Europa,Grecia,19.0,0,0,736.0,0.0,0.0,0.0,1.0,0
2545_01,Joycey Hoppernardy,G,410,P,Europa,Monaco,78.0,0,1,0.0,0.0,0.0,0.0,0.0,0
4204_03,Gailya Avisnydes,G,691,P,Europa,Grecia,12.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6488_01,Propsh Ingwhed,A,79,S,America,Grecia,50.0,0,0,0.0,1663.0,336.0,1855.0,4.0,0
7214_01,Sethew Garzaley,F,1389,S,Europa,Monaco,22.0,0,0,30.0,0.0,690.0,41.0,0.0,1
6827_02,Coxaton Listive,A,84,S,America,Grecia,14.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6920_01,Verek Wolferguson,E,462,S,Europa,Grecia,29.0,0,0,0.0,10.0,0.0,5.0,975.0,0
0645_01,Troyra Grahangory,G,98,P,Europa,Outros,20.0,0,0,1724.0,0.0,0.0,1.0,0.0,0
1524_01,Therie Shawforden,G,236,S,Europa,Grecia,14.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1619_01,Vanard Hinglendez,G,249,S,Europa,Grecia,39.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5280_01,Elanda Simpsonks,F,1015,S,Europa,Grecia,18.0,0,0,0.0,0.0,2728.0,0.0,0.0,1
6868_01,Jerek Brookenson,F,1427,P,Europa,Grecia,18.0,0,0,0.0,18.0,73.0,2134.0,25.0,0
0607_01,Dyonium Hontichre,C,22,P,America,Grecia,37.0,0,0,27.0,654.0,10.0,881.0,9568.0,0
3361_01,Ming Sinda,F,635,S,Africa,Grecia,25.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4242_01,Bix Ecate,F,877,P,Africa,Grecia,28.0,0,1,0.0,0.0,0.0,0.0,0.0,1
9192_01,Norahe Drakeekss,F,1880,P,Europa,Malta,24.0,0,0,0.0,599.0,0.0,0.0,0.0,1
7650_03,Meline Potters,G,1242,S,Europa,Malta,3.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3036_01,Penne Booneid,F,634,P,Europa,Malta,57.0,0,0,506.0,0.0,1.0,178.0,0.0,0
4013_01,Coos Emead,E,243,P,Africa,Grecia,14.0,0,0,460.0,0.0,0.0,315.0,172.0,0
6186_01,Tot Ancy,E,396,P,Africa,Grecia,19.0,1,0,61.0,783.0,110.0,0.0,0.0,1
0553_02,Gluinol Valindle,C,19,P,America,Grecia,37.0,0,0,0.0,6506.0,0.0,764.0,0.0,1
6405_03,Andary Toddleton,G,1039,S,Europa,Grecia,25.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4001_02,Loresa Lowelliott,G,659,S,Europa,Grecia,3.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1024_02,Myrace Nichaner,G,152,P,Europa,Grecia,0.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6007_01,Jonard Kochroeders,G,971,P,Europa,Outros,44.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3485_01,Algenif Oillepint,E,237,S,America,Grecia,49.0,0,0,0.0,1855.0,0.0,166.0,1655.0,0
5967_01,Jonald Duranks,G,965,P,Europa,Monaco,38.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8055_01,Joeula Baxterson,E,533,S,Europa,Grecia,27.0,0,0,0.0,0.0,846.0,59.0,0.0,0
0550_01,Maen Cleminglas,F,99,S,Europa,Grecia,23.0,0,0,13.0,12.0,0.0,762.0,0.0,1
3229_01,Aino Chpeng,B,118,S,America,Grecia,45.0,0,0,3.0,2344.0,1100.0,498.0,0.0,1
7699_01,Chesty Morez,G,1235,P,Europa,Monaco,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1
0290_04,Atino Excialing,B,7,S,America,Monaco,9.0,0,0,0.0,0.0,0.0,0.0,0.0,1
4017_01,Frouse Mele,E,269,S,Africa,Grecia,21.0,0,0,0.0,0.0,0.0,0.0,0.0,0
6932_01,Shaele Ewiseston,G,1130,S,Europa,Grecia,20.0,0,0,559.0,0.0,83.0,112.0,0.0,1
1004_01,Aldun Wassird,A,11,S,America,Monaco,56.0,0,1,0.0,0.0,0.0,0.0,0.0,1
0885_02,Velyne Pittson,G,133,S,Europa,Monaco,52.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6200_02,Weias Duckil,B,238,S,America,Grecia,26.0,0,0,0.0,9.0,0.0,3.0,2047.0,0
4068_01,Dnocese Pirejus,D,131,S,America,Grecia,27.0,0,0,0.0,1381.0,0.0,148.0,2181.0,0
7788_01,Julin Guerson,F,1488,S,Europa,Malta,43.0,0,0,0.0,0.0,110.0,538.0,0.0,0
8175_01,Terope Geraing,C,305,S,America,Grecia,38.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6622_01,Coreen Lynnerett,G,1070,P,Europa,Monaco,54.0,0,0,752.0,0.0,44.0,14.0,0.0,0
6556_01,Nes Gine,F,1362,P,Africa,Grecia,29.0,0,1,0.0,0.0,0.0,0.0,0.0,1
0503_01,Gal Fone,F,90,S,Africa,Grecia,10.0,0,0,0.0,0.0,0.0,0.0,0.0,1
4555_01,Claine Wiggs,G,743,S,Europa,Grecia,21.0,0,0,29.0,27.0,47.0,694.0,11.0,0
3798_01,Castra Exibuctich,E,253,S,America,Grecia,67.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1976_06,Wasaleh Lansuffle,B,82,S,America,Grecia,64.0,0,1,0.0,0.0,0.0,0.0,0.0,1
0265_01,Etair Herpumble,D,8,S,America,Grecia,39.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8816_03,Merops Diouselt,B,340,S,America,Monaco,15.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2906_01,Margia Gainebergan,G,463,S,Europa,Outros,29.0,0,0,1.0,0.0,133.0,104.0,574.0,0
0789_02,Auvan Frolestty,A,8,S,America,Grecia,30.0,0,0,0.0,142.0,870.0,89.0,3497.0,0
1199_01,Lillen Hubbarnett,E,73,P,Europa,Grecia,16.0,0,0,0.0,0.0,752.0,0.0,235.0,0
5443_01,Gabrie Hickley,F,1124,P,Europa,Monaco,13.0,0,0,4.0,99.0,1.0,0.0,595.0,0
3282_01,Nasl Prighty,B,120,S,America,Monaco,43.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2150_01,Walley Prickmantes,G,346,P,Europa,Malta,38.0,0,1,0.0,0.0,0.0,0.0,0.0,0
3710_02,Deanny Loverceson,G,601,P,Europa,Grecia,8.0,0,0,0.0,0.0,0.0,0.0,0.0,0
4542_02,Arrai Stracary,B,150,P,America,Monaco,20.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4044_03,Rowls Can,F,765,S,Africa,Grecia,10.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6971_02,Chard Distured,C,225,P,America,Grecia,4.0,0,0,0.0,0.0,0.0,0.0,0.0,1
